# step Epot T p V 
0 -4685.3494 0.0 6516.2616 23823.124 
5000 -5229.7428 307.2016 306.5221 23692.6367 
10000 -5139.2334 299.6161 102.4966 23478.6578 
15000 -5153.9145 301.842 -449.7196 22928.7975 
20000 -5284.6008 305.3935 -543.3912 23059.0458 
25000 -5217.1215 297.5975 877.6494 22489.099 
30000 -5239.6251 305.8442 -450.2288 22958.6509 
35000 -5191.6181 291.7034 -154.4165 22945.9411 
40000 -5229.7151 310.4373 53.88 22789.208 
45000 -5189.3318 294.1172 -359.8263 22862.862 
50000 -5252.1266 297.652 -932.89 22706.1337 
55000 -5189.6811 295.4507 -475.0053 22725.7664 
60000 -5213.7688 300.0063 -43.7064 22553.9066 
65000 -5215.993 303.8176 -285.4386 22277.0693 
70000 -5203.6508 302.3289 247.8578 22503.1003 
75000 -5269.6837 301.847 -81.6358 22610.8599 
80000 -5205.7703 296.8474 221.8881 22434.3728 
85000 -5209.3124 308.482 -38.1833 22550.0796 
90000 -5124.5574 287.5243 54.0422 22801.2616 
95000 -5220.7216 303.3587 -586.6957 22804.7657 
100000 -5180.8802 299.9869 -403.8383 22625.6277 
105000 -5150.4236 296.0523 112.3118 22834.653 
110000 -5211.5996 289.3476 -450.2503 22697.6763 
115000 -5226.2835 297.8942 -67.4377 22682.9934 
120000 -5200.0792 291.5102 415.0814 22655.3636 
125000 -5247.8045 292.5129 461.1956 22300.8133 
130000 -5181.3587 302.5358 -704.9054 22395.2651 
135000 -5204.5931 300.3133 43.7022 22801.8426 
140000 -5207.618 298.1073 -619.3031 22864.1919 
145000 -5195.4561 291.0897 -426.0918 22787.9552 
150000 -5212.6483 302.8961 -135.9162 22697.3735 
155000 -5252.6248 289.0714 -266.8978 22424.8729 
160000 -5187.8468 301.5668 -493.3506 22622.1346 
165000 -5206.4344 287.513 -28.9002 22412.7705 
170000 -5237.6479 295.9394 793.7063 22395.4768 
175000 -5226.4696 299.1358 -542.7895 22512.7955 
180000 -5176.1998 307.4836 -615.413 22739.9805 
185000 -5214.7694 300.3333 -363.3737 22883.4249 
190000 -5259.8739 301.6525 -579.0808 22541.7765 
195000 -5189.9839 287.8706 -414.5185 22817.8541 
200000 -5209.5853 288.451 -713.7677 22686.2847 
205000 -5238.4927 304.3025 -270.9041 22744.4305 
210000 -5160.652 289.4236 -37.1388 22925.5466 
215000 -5220.655 301.8734 -647.6767 22643.7732 
220000 -5217.5476 300.6315 -713.009 22913.159 
225000 -5179.6011 310.1891 -352.0408 22764.628 
230000 -5241.4099 300.2331 -75.2249 22400.2882 
235000 -5158.1493 305.3836 -686.7022 22912.3472 
240000 -5153.7947 286.9341 -225.3836 23099.2901 
245000 -5184.4091 295.7456 -776.5754 23155.5199 
250000 -5230.6857 304.613 -8.8234 22433.0062 
255000 -5230.0899 295.8501 -335.8523 22737.7725 
260000 -5278.6374 297.0953 -898.1479 22525.1643 
265000 -5219.5348 297.7619 -892.926 22857.6187 
270000 -5221.1797 304.8927 178.6127 22599.0698 
275000 -5213.9509 307.5115 73.4869 22854.8112 
280000 -5274.3267 314.1589 -341.3679 22477.8995 
285000 -5251.2256 287.0139 326.5057 22730.7149 
290000 -5205.2407 302.7691 -742.5597 22701.6621 
295000 -5167.6783 297.8798 -331.7597 22886.8113 
300000 -5217.4391 296.1526 51.0967 22463.0871 
305000 -5150.476 306.992 -664.774 22923.6966 
310000 -5255.4124 292.6182 -683.6325 22789.4772 
315000 -5199.2297 308.1041 -458.4382 22683.9478 
320000 -5241.6086 303.2204 -367.3078 22727.5026 
325000 -5182.0304 300.3162 -202.6836 22845.2134 
330000 -5154.9609 284.088 -681.3837 22784.4901 
335000 -5200.9867 312.2937 -253.2218 22802.3084 
340000 -5204.5908 313.0087 -173.5953 22606.7193 
345000 -5257.8513 298.5432 -359.9106 22601.3946 
350000 -5217.3174 306.9218 -334.281 22580.4838 
355000 -5199.8062 300.245 -322.2118 22593.0841 
360000 -5162.9258 294.2343 129.5854 22731.6164 
365000 -5167.2947 297.61 15.2399 22936.6211 
370000 -5217.4198 303.0141 454.8252 22638.3179 
375000 -5187.5055 304.1192 48.3107 22977.8625 
380000 -5208.2655 309.5289 -241.4467 22588.7533 
385000 -5182.6858 297.2705 -459.1053 22667.4578 
390000 -5212.2164 304.5917 -924.6514 22443.6839 
395000 -5174.8 302.098 -697.8424 22886.0996 
400000 -5203.5775 323.4317 404.3146 22679.1549 
405000 -5224.8336 303.3766 297.0323 22636.8295 
410000 -5204.7022 310.1492 -1340.9 22817.551 
415000 -5211.2653 304.2424 -253.985 22688.3414 
420000 -5203.2723 290.8165 -644.298 22800.1353 
425000 -5204.6043 299.0274 -234.052 22394.8821 
430000 -5173.9471 317.3546 -172.0173 22848.6299 
435000 -5225.4989 305.9213 201.5032 22570.7641 
440000 -5190.4595 287.947 -165.9872 22547.188 
445000 -5157.0796 290.3142 71.7372 22528.7401 
450000 -5202.9806 293.6502 -196.3421 22620.2778 
455000 -5242.8714 288.4456 -344.5133 22686.8108 
460000 -5187.8374 299.0028 25.5045 22599.3278 
465000 -5176.279 300.5648 -947.6193 22751.68 
470000 -5223.9104 308.2396 -261.3578 22662.3609 
475000 -5183.3958 298.2408 8.9429 22693.7963 
480000 -5159.342 291.8162 -699.1805 22920.7171 
485000 -5232.3837 296.2149 215.3819 22467.9151 
490000 -5272.7732 303.7991 -979.6574 22816.9376 
495000 -5236.6558 291.0073 -704.9757 22463.6743 
500000 -5148.2793 293.0323 -96.9359 22488.6506 
