ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:       0         0.0000         0.0000         0.0000         0.0000          -5460.6261       775.2767         0.0000         0.0000         0.0000          -4685.3494         0.0000     -4685.3494     -4684.5914         0.0000           6516.2616      6528.3393     23823.1240      6516.2616      6528.3393
ENERGY:    5000         0.0000         0.0000         0.0000         0.0000          -5793.4701       563.7273         0.0000         0.0000       966.9818          -4262.7610       307.2016     -5229.7428     -4259.8521       277.4458            306.5221       335.1912     23692.6367      -175.6983      -175.7074
ENERGY:   10000         0.0000         0.0000         0.0000         0.0000          -5624.1150       484.8816         0.0000         0.0000       943.1047          -4196.1287       299.6161     -5139.2334     -4194.5215       294.4282            102.4966       117.1365     23478.6578      -172.4949      -172.4159
ENERGY:   15000         0.0000         0.0000         0.0000         0.0000          -5570.4829       416.5684         0.0000         0.0000       950.1112          -4203.8033       301.8420     -5153.9145     -4202.1159       301.6706           -449.7196      -431.7923     22928.7975       -91.9527       -92.0883
ENERGY:   20000         0.0000         0.0000         0.0000         0.0000          -5728.5473       443.9465         0.0000         0.0000       961.2902          -4323.3105       305.3935     -5284.6008     -4320.9018       296.1740           -543.3912      -532.3987     23059.0458      -202.3508      -202.5872
ENERGY:   25000         0.0000         0.0000         0.0000         0.0000          -5701.5895       484.4681         0.0000         0.0000       936.7509          -4280.3706       297.5975     -5217.1215     -4278.5174       297.1022            877.6494       883.4231     22489.0990      -200.2551      -200.3016
ENERGY:   30000         0.0000         0.0000         0.0000         0.0000          -5643.8084       404.1834         0.0000         0.0000       962.7091          -4276.9160       305.8442     -5239.6251     -4273.4620       298.6204           -450.2288      -448.0752     22958.6509      -195.2675      -195.1555
ENERGY:   35000         0.0000         0.0000         0.0000         0.0000          -5604.6572       413.0391         0.0000         0.0000       918.1979          -4273.4202       291.7034     -5191.6181     -4271.1095       301.7410           -154.4165      -118.4547     22945.9411      -222.4407      -222.5042
ENERGY:   40000         0.0000         0.0000         0.0000         0.0000          -5657.7418       428.0267         0.0000         0.0000       977.1668          -4252.5484       310.4373     -5229.7151     -4250.8542       299.8202             53.8800        76.8289     22789.2080      -282.7431      -282.6566
ENERGY:   45000         0.0000         0.0000         0.0000         0.0000          -5570.7162       381.3844         0.0000         0.0000       925.7958          -4263.5360       294.1172     -5189.3318     -4261.7226       300.0801           -359.8263      -343.3443     22862.8620      -203.8244      -203.8481
ENERGY:   50000         0.0000         0.0000         0.0000         0.0000          -5616.7871       364.6604         0.0000         0.0000       936.9224          -4315.2043       297.6520     -5252.1266     -4312.6957       297.9887           -932.8900      -915.1211     22706.1337      -228.4728      -228.3714
