# frame +z -z 
10 0 0
20 0 0
30 0 0
40 0 0
50 0 0
60 0 0
70 0 2
80 0 2
90 0 3
100 0 3
110 0 3
120 0 5
130 0 7
140 0 7
150 0 7
160 0 7
170 0 7
180 0 7
190 1 7
200 1 7
210 1 7
220 2 7
230 3 7
240 3 7
250 3 7
260 3 7
270 3 7
280 3 7
290 3 8
300 3 8
310 4 9
320 4 9
330 5 9
340 6 9
350 7 9
360 7 9
370 7 9
380 7 9
390 8 9
400 8 9
410 9 9
420 13 9
430 13 9
440 13 9
450 13 9
460 13 9
470 14 9
480 15 9
490 15 9
500 15 9
510 15 9
520 15 9
530 15 9
540 15 9
550 15 9
560 15 9
570 15 9
580 15 9
590 15 9
600 16 9
610 16 9
620 16 9
630 16 9
640 16 9
650 16 9
660 16 10
670 16 10
680 16 10
690 16 10
700 17 10
710 17 10
720 17 10
730 17 10
740 17 10
750 17 10
760 17 10
770 17 10
780 17 10
790 19 10
800 21 11
810 21 11
820 21 11
830 21 11
840 21 11
850 21 11
860 21 11
870 21 11
880 21 11
890 21 11
900 21 11
910 21 11
920 21 11
930 21 11
940 21 11
950 21 11
960 21 11
970 23 11
980 23 11
990 23 11
1000 23 12
